StudentID,time,gaze_down
11,338,True
11,339,True
11,340,True
11,341,True
11,343,True
11,351,True
11,352,True
11,353,True
11,354,True
11,355,True
11,356,True
11,359,True
11,360,True
11,364,True
11,365,True
11,366,True
11,367,True
11,368,True
11,369,True
11,370,True
11,371,True
11,372,True
11,373,True
11,374,True
11,375,True
11,376,True
11,384,True
11,389,True
11,390,True
11,391,True
11,392,True
11,393,True
11,394,True
11,395,True
11,396,True
11,397,True
11,398,True
11,399,True
11,400,True
11,401,True
11,402,True
11,403,True
11,404,True
11,405,True
11,406,True
11,407,True
11,408,True
11,409,True
11,410,True
11,411,True
11,412,True
11,413,True
11,414,True
11,415,True
11,416,True
11,417,True
11,418,True
11,419,True
11,420,True
11,421,True
11,422,True
11,423,True
11,424,True
11,425,True
11,426,True
11,427,True
11,428,True
11,429,True
11,430,True
11,431,True
11,432,True
11,433,True
11,434,True
11,435,True
11,436,True
11,437,True
11,438,True
11,439,True
11,440,True
11,441,True
11,442,True
11,443,True
11,444,True
11,445,True
11,446,True
11,447,True
11,456,True
11,457,True
11,458,True
11,459,True
11,460,True
11,461,True
11,462,True
11,463,True
11,464,True
11,467,True
11,468,True
11,469,True
11,470,True
11,471,True
11,472,True
11,473,True
11,475,True
11,476,True
12,39,True
12,42,True
12,44,True
12,50,True
12,57,True
12,58,True
12,59,True
12,95,True
12,148,True
12,149,True
12,167,True
12,168,True
12,169,True
12,170,True
12,171,True
12,172,True
12,173,True
12,174,True
12,175,True
12,176,True
12,177,True
12,221,True
12,306,True
12,307,True
12,313,True
12,382,True
12,383,True
12,400,True
12,401,True
12,402,True
12,403,True
12,404,True
12,416,True
12,417,True
12,420,True
12,422,True
12,423,True
12,424,True
14,42,True
14,44,True
14,49,True
14,50,True
14,57,True
14,58,True
14,59,True
14,60,True
14,148,True
14,149,True
14,237,True
14,238,True
14,239,True
14,306,True
14,351,True
14,379,True
14,399,True
14,400,True
14,401,True
15,38,True
15,39,True
15,40,True
15,41,True
15,46,True
15,47,True
15,48,True
15,50,True
15,52,True
15,53,True
15,57,True
15,58,True
15,60,True
15,61,True
15,65,True
15,69,True
15,70,True
15,73,True
15,77,True
15,78,True
15,104,True
15,116,True
15,140,True
15,142,True
15,145,True
15,148,True
15,165,True
15,166,True
15,169,True
15,173,True
15,174,True
15,175,True
15,254,True
15,295,True
15,296,True
15,330,True
15,382,True
15,411,True
15,412,True
15,413,True
15,416,True
15,417,True
15,418,True
15,419,True
15,420,True
15,421,True
15,435,True
15,450,True
15,461,True
15,462,True
15,464,True
15,465,True
15,466,True
15,474,True
15,476,True
17,143,True
17,144,True
17,147,True
17,148,True
17,153,True
17,157,True
17,165,True
17,166,True
17,167,True
17,168,True
17,174,True
17,176,True
17,189,True
17,190,True
