sessionA,sessionB,idA,idB,gt,pred
0228,0402,0228_1,0402_3,1.0,1.0
0228,0402,0228_12,0402_4,1.0,0.0
0228,0402,0228_2,0402_11,1.0,1.0
0228,0402,0228_19,0402_4,1.0,0.0
0228,0402,0228_19,0402_7,1.0,0.0
0228,0402,0228_7,0402_6,1.0,0.0
0228,0402,0228_16,0402_0,1.0,0.0
0228,0402,0228_27,0402_13,1.0,0.0
0228,0402,0228_9,0402_8,1.0,0.0
0307,0402,0307_9,0402_5,1.0,0.0
0307,0402,0307_6,0402_14,1.0,1.0
0307,0402,0307_1,0402_2,1.0,0.0
0307,0402,0307_0,0402_10,1.0,0.0
0307,0402,0307_3,0402_3,1.0,0.0
0307,0402,0307_7,0402_4,1.0,0.0
0307,0402,0307_4,0402_11,1.0,0.0
0307,0402,0307_5,0402_4,1.0,0.0
0307,0402,0307_5,0402_7,1.0,0.0
0307,0402,0307_11,0402_4,1.0,0.0
0307,0402,0307_11,0402_7,1.0,0.0
0307,0402,0307_17,0402_4,1.0,0.0
0307,0402,0307_17,0402_7,1.0,0.0
0307,0402,0307_3,0402_4,1.0,0.0
0307,0402,0307_3,0402_7,1.0,0.0
0307,0402,0307_13,0402_6,1.0,0.0
0307,0402,0307_5,0402_0,1.0,0.0
0307,0402,0307_11,0402_0,1.0,0.0
,,0205_6,0214_10,0.0,1.0
,,0205_8,0228_15,0.0,1.0
,,0205_1,0228_16,0.0,1.0
,,0205_16,0228_13,0.0,1.0
,,0205_6,0228_18,0.0,1.0
,,0205_2,0307_4,0.0,1.0
,,0205_9,0402_11,0.0,1.0
,,0205_8,0402_0,0.0,1.0
,,0205_3,0402_12,0.0,1.0
,,0214_12,0228_20,0.0,1.0
,,0214_18,0228_8,0.0,1.0
,,0214_8,0228_12,0.0,1.0
,,0214_4,0228_27,0.0,1.0
,,0214_2,0228_0,0.0,1.0
,,0214_14,0228_19,0.0,1.0
,,0214_1,0307_17,0.0,1.0
,,0214_2,0307_13,0.0,1.0
,,0214_8,0402_2,0.0,1.0
,,0214_6,0402_8,0.0,1.0
,,0228_20,0307_6,0.0,1.0
,,0228_3,0307_7,0.0,1.0
,,0228_0,0307_9,0.0,1.0
,,0228_18,0402_12,0.0,1.0
,,0307_17,0402_8,0.0,1.0
