session,StudentID,hand_raises,looking_down,looking_up,course
classinsight-cmu_05748A_ghc_4101_201902141630,0,7,0.21711899791231734,0.7828810020876826,05748A
classinsight-cmu_05748A_ghc_4101_201902141630,1,11,0.0,1.0,05748A
classinsight-cmu_05748A_ghc_4101_201902141630,2,17,0.014893617021276596,0.9851063829787234,05748A
classinsight-cmu_05748A_ghc_4101_201902141630,3,7,0.04929577464788732,0.9507042253521126,05748A
classinsight-cmu_05748A_ghc_4101_201902141630,4,9,0.018789144050104383,0.9812108559498957,05748A
classinsight-cmu_05748A_ghc_4101_201902141630,5,16,0.0041753653444676405,0.9958246346555324,05748A
classinsight-cmu_05748A_ghc_4101_201902141630,6,32,0.04384133611691023,0.9561586638830898,05748A
classinsight-cmu_05748A_ghc_4101_201902141630,7,2,0.005747126436781609,0.9942528735632183,05748A
classinsight-cmu_05748A_ghc_4101_201902141630,8,5,0.016701461377870562,0.9832985386221295,05748A
classinsight-cmu_05748A_ghc_4101_201902141630,9,17,0.02510460251046025,0.9748953974895398,05748A
classinsight-cmu_05748A_ghc_4101_201902141630,10,2,0.02643171806167401,0.973568281938326,05748A
classinsight-cmu_05748A_ghc_4101_201902141630,11,3,0.0,1.0,05748A
classinsight-cmu_05748A_ghc_4101_201902141630,12,6,0.15824175824175823,0.8417582417582418,05748A
classinsight-cmu_05748A_ghc_4101_201902141630,13,1,0.7828746177370031,0.21712538226299694,05748A
classinsight-cmu_05748A_ghc_4101_201902141630,14,11,0.017817371937639197,0.9821826280623608,05748A
classinsight-cmu_05748A_ghc_4101_201902141630,15,4,0.1865671641791045,0.8134328358208955,05748A
classinsight-cmu_05748A_ghc_4101_201902141630,16,6,0.0,1.0,05748A
classinsight-cmu_05748A_ghc_4101_201902141630,17,11,0.2786885245901639,0.7213114754098361,05748A
classinsight-cmu_05748A_ghc_4101_201902141630,18,2,0.078125,0.921875,05748A
classinsight-cmu_05748A_ghc_4101_201904021630,0,8,0.008955223880597015,0.991044776119403,05748A
