,max_thr,max_pair_thr,max_area_thr,num_true_pairs,num_total_pairs,precision
0,0.15000000000000002,0.0,0,2,4,0.5
1,0.15000000000000002,0.0,5,2,4,0.5
2,0.15000000000000002,0.0,10,2,4,0.5
3,0.15000000000000002,0.0,15,2,4,0.5
4,0.15000000000000002,0.0,20,2,4,0.5
5,0.15000000000000002,0.0,25,2,4,0.5
6,0.15000000000000002,0.0,30,2,4,0.5
7,0.15000000000000002,0.0,35,2,4,0.5
8,0.15000000000000002,0.0,40,2,4,0.5
9,0.15000000000000002,0.0,45,2,4,0.5
10,0.15000000000000002,0.0,50,2,4,0.5
11,0.15000000000000002,0.0,55,2,4,0.5
12,0.15000000000000002,0.0,60,2,4,0.5
13,0.15000000000000002,0.0,65,2,4,0.5
14,0.15000000000000002,0.0,70,2,4,0.5
15,0.15000000000000002,0.0,75,2,4,0.5
16,0.15000000000000002,0.0,80,2,4,0.5
17,0.15000000000000002,0.0,85,2,4,0.5
18,0.15000000000000002,0.0,90,2,4,0.5
19,0.15000000000000002,0.0,95,2,4,0.5
20,0.15000000000000002,0.05,0,2,4,0.5
21,0.15000000000000002,0.05,5,2,4,0.5
22,0.15000000000000002,0.05,10,2,4,0.5
23,0.15000000000000002,0.05,15,2,4,0.5
24,0.15000000000000002,0.05,20,2,4,0.5
25,0.15000000000000002,0.05,25,2,4,0.5
26,0.15000000000000002,0.05,30,2,4,0.5
27,0.15000000000000002,0.05,35,2,4,0.5
28,0.15000000000000002,0.05,40,2,4,0.5
29,0.15000000000000002,0.05,45,2,4,0.5
30,0.15000000000000002,0.05,50,2,4,0.5
31,0.15000000000000002,0.05,55,2,4,0.5
32,0.15000000000000002,0.05,60,2,4,0.5
33,0.15000000000000002,0.05,65,2,4,0.5
34,0.15000000000000002,0.05,70,2,4,0.5
35,0.15000000000000002,0.05,75,2,4,0.5
36,0.15000000000000002,0.05,80,2,4,0.5
37,0.15000000000000002,0.05,85,2,4,0.5
38,0.15000000000000002,0.05,90,2,4,0.5
39,0.15000000000000002,0.05,95,2,4,0.5
40,0.15000000000000002,0.1,0,2,4,0.5
41,0.15000000000000002,0.1,5,2,4,0.5
42,0.15000000000000002,0.1,10,2,4,0.5
43,0.15000000000000002,0.1,15,2,4,0.5
44,0.15000000000000002,0.1,20,2,4,0.5
45,0.15000000000000002,0.1,25,2,4,0.5
46,0.15000000000000002,0.1,30,2,4,0.5
47,0.15000000000000002,0.1,35,2,4,0.5
48,0.15000000000000002,0.1,40,2,4,0.5
49,0.15000000000000002,0.1,45,2,4,0.5
50,0.15000000000000002,0.1,50,2,4,0.5
51,0.15000000000000002,0.1,55,2,4,0.5
52,0.15000000000000002,0.1,60,2,4,0.5
53,0.15000000000000002,0.1,65,2,4,0.5
54,0.15000000000000002,0.1,70,2,4,0.5
55,0.15000000000000002,0.1,75,2,4,0.5
56,0.15000000000000002,0.1,80,2,4,0.5
57,0.15000000000000002,0.1,85,2,4,0.5
58,0.15000000000000002,0.1,90,2,4,0.5
59,0.15000000000000002,0.1,95,2,4,0.5
60,0.15000000000000002,0.15000000000000002,0,2,4,0.5
61,0.15000000000000002,0.15000000000000002,5,2,4,0.5
62,0.15000000000000002,0.15000000000000002,10,2,4,0.5
63,0.15000000000000002,0.15000000000000002,15,2,4,0.5
64,0.15000000000000002,0.15000000000000002,20,2,4,0.5
65,0.15000000000000002,0.15000000000000002,25,2,4,0.5
66,0.15000000000000002,0.15000000000000002,30,2,4,0.5
67,0.15000000000000002,0.15000000000000002,35,2,4,0.5
68,0.15000000000000002,0.15000000000000002,40,2,4,0.5
69,0.15000000000000002,0.15000000000000002,45,2,4,0.5
70,0.15000000000000002,0.15000000000000002,50,2,4,0.5
71,0.15000000000000002,0.15000000000000002,55,2,4,0.5
72,0.15000000000000002,0.15000000000000002,60,2,4,0.5
73,0.15000000000000002,0.15000000000000002,65,2,4,0.5
74,0.15000000000000002,0.15000000000000002,70,2,4,0.5
75,0.15000000000000002,0.15000000000000002,75,2,4,0.5
76,0.15000000000000002,0.15000000000000002,80,2,4,0.5
77,0.15000000000000002,0.15000000000000002,85,2,4,0.5
78,0.15000000000000002,0.15000000000000002,90,2,4,0.5
79,0.15000000000000002,0.15000000000000002,95,2,4,0.5
80,0.2,0.0,0,16,28,0.5714285714285714
81,0.2,0.0,5,16,28,0.5714285714285714
82,0.2,0.0,10,16,28,0.5714285714285714
83,0.2,0.0,15,16,28,0.5714285714285714
84,0.2,0.0,20,16,28,0.5714285714285714
85,0.2,0.0,25,16,28,0.5714285714285714
86,0.2,0.0,30,16,28,0.5714285714285714
87,0.2,0.0,35,16,28,0.5714285714285714
88,0.2,0.0,40,16,28,0.5714285714285714
89,0.2,0.0,45,16,28,0.5714285714285714
90,0.2,0.0,50,16,28,0.5714285714285714
91,0.2,0.0,55,16,28,0.5714285714285714
92,0.2,0.0,60,16,28,0.5714285714285714
93,0.2,0.0,65,16,28,0.5714285714285714
94,0.2,0.0,70,16,28,0.5714285714285714
95,0.2,0.0,75,16,28,0.5714285714285714
96,0.2,0.0,80,16,28,0.5714285714285714
97,0.2,0.0,85,16,28,0.5714285714285714
98,0.2,0.0,90,16,28,0.5714285714285714
99,0.2,0.0,95,16,28,0.5714285714285714
100,0.2,0.05,0,16,28,0.5714285714285714
101,0.2,0.05,5,16,28,0.5714285714285714
102,0.2,0.05,10,16,28,0.5714285714285714
103,0.2,0.05,15,16,28,0.5714285714285714
104,0.2,0.05,20,16,28,0.5714285714285714
105,0.2,0.05,25,16,28,0.5714285714285714
