StudentID,time,hand_raised,session
0,0,True,classinsight-cmu_05748A_ghc_4101_201902141630
0,3,True,classinsight-cmu_05748A_ghc_4101_201902141630
0,10,True,classinsight-cmu_05748A_ghc_4101_201902141630
0,20,True,classinsight-cmu_05748A_ghc_4101_201902141630
0,61,True,classinsight-cmu_05748A_ghc_4101_201902141630
0,62,True,classinsight-cmu_05748A_ghc_4101_201902141630
0,63,True,classinsight-cmu_05748A_ghc_4101_201902141630
1,19,True,classinsight-cmu_05748A_ghc_4101_201902141630
1,28,True,classinsight-cmu_05748A_ghc_4101_201902141630
1,29,True,classinsight-cmu_05748A_ghc_4101_201902141630
1,35,True,classinsight-cmu_05748A_ghc_4101_201902141630
1,45,True,classinsight-cmu_05748A_ghc_4101_201902141630
1,58,True,classinsight-cmu_05748A_ghc_4101_201902141630
1,60,True,classinsight-cmu_05748A_ghc_4101_201902141630
1,61,True,classinsight-cmu_05748A_ghc_4101_201902141630
1,62,True,classinsight-cmu_05748A_ghc_4101_201902141630
1,69,True,classinsight-cmu_05748A_ghc_4101_201902141630
1,79,True,classinsight-cmu_05748A_ghc_4101_201902141630
2,1,True,classinsight-cmu_05748A_ghc_4101_201902141630
2,2,True,classinsight-cmu_05748A_ghc_4101_201902141630
2,21,True,classinsight-cmu_05748A_ghc_4101_201902141630
2,37,True,classinsight-cmu_05748A_ghc_4101_201902141630
2,59,True,classinsight-cmu_05748A_ghc_4101_201902141630
2,60,True,classinsight-cmu_05748A_ghc_4101_201902141630
2,64,True,classinsight-cmu_05748A_ghc_4101_201902141630
2,65,True,classinsight-cmu_05748A_ghc_4101_201902141630
2,66,True,classinsight-cmu_05748A_ghc_4101_201902141630
2,67,True,classinsight-cmu_05748A_ghc_4101_201902141630
2,69,True,classinsight-cmu_05748A_ghc_4101_201902141630
2,71,True,classinsight-cmu_05748A_ghc_4101_201902141630
2,74,True,classinsight-cmu_05748A_ghc_4101_201902141630
2,75,True,classinsight-cmu_05748A_ghc_4101_201902141630
2,76,True,classinsight-cmu_05748A_ghc_4101_201902141630
2,77,True,classinsight-cmu_05748A_ghc_4101_201902141630
2,78,True,classinsight-cmu_05748A_ghc_4101_201902141630
3,1,True,classinsight-cmu_05748A_ghc_4101_201902141630
3,2,True,classinsight-cmu_05748A_ghc_4101_201902141630
3,3,True,classinsight-cmu_05748A_ghc_4101_201902141630
3,44,True,classinsight-cmu_05748A_ghc_4101_201902141630
3,61,True,classinsight-cmu_05748A_ghc_4101_201902141630
3,65,True,classinsight-cmu_05748A_ghc_4101_201902141630
3,66,True,classinsight-cmu_05748A_ghc_4101_201902141630
4,1,True,classinsight-cmu_05748A_ghc_4101_201902141630
4,2,True,classinsight-cmu_05748A_ghc_4101_201902141630
4,11,True,classinsight-cmu_05748A_ghc_4101_201902141630
4,14,True,classinsight-cmu_05748A_ghc_4101_201902141630
4,24,True,classinsight-cmu_05748A_ghc_4101_201902141630
4,28,True,classinsight-cmu_05748A_ghc_4101_201902141630
4,36,True,classinsight-cmu_05748A_ghc_4101_201902141630
4,41,True,classinsight-cmu_05748A_ghc_4101_201902141630
4,51,True,classinsight-cmu_05748A_ghc_4101_201902141630
5,1,True,classinsight-cmu_05748A_ghc_4101_201902141630
5,2,True,classinsight-cmu_05748A_ghc_4101_201902141630
5,3,True,classinsight-cmu_05748A_ghc_4101_201902141630
5,10,True,classinsight-cmu_05748A_ghc_4101_201902141630
5,11,True,classinsight-cmu_05748A_ghc_4101_201902141630
5,13,True,classinsight-cmu_05748A_ghc_4101_201902141630
5,18,True,classinsight-cmu_05748A_ghc_4101_201902141630
5,25,True,classinsight-cmu_05748A_ghc_4101_201902141630
5,26,True,classinsight-cmu_05748A_ghc_4101_201902141630
5,49,True,classinsight-cmu_05748A_ghc_4101_201902141630
5,51,True,classinsight-cmu_05748A_ghc_4101_201902141630
5,59,True,classinsight-cmu_05748A_ghc_4101_201902141630
5,60,True,classinsight-cmu_05748A_ghc_4101_201902141630
5,61,True,classinsight-cmu_05748A_ghc_4101_201902141630
5,64,True,classinsight-cmu_05748A_ghc_4101_201902141630
5,70,True,classinsight-cmu_05748A_ghc_4101_201902141630
6,2,True,classinsight-cmu_05748A_ghc_4101_201902141630
6,3,True,classinsight-cmu_05748A_ghc_4101_201902141630
6,4,True,classinsight-cmu_05748A_ghc_4101_201902141630
6,6,True,classinsight-cmu_05748A_ghc_4101_201902141630
6,8,True,classinsight-cmu_05748A_ghc_4101_201902141630
6,9,True,classinsight-cmu_05748A_ghc_4101_201902141630
6,14,True,classinsight-cmu_05748A_ghc_4101_201902141630
6,16,True,classinsight-cmu_05748A_ghc_4101_201902141630
6,17,True,classinsight-cmu_05748A_ghc_4101_201902141630
6,19,True,classinsight-cmu_05748A_ghc_4101_201902141630
6,20,True,classinsight-cmu_05748A_ghc_4101_201902141630
6,21,True,classinsight-cmu_05748A_ghc_4101_201902141630
6,22,True,classinsight-cmu_05748A_ghc_4101_201902141630
6,23,True,classinsight-cmu_05748A_ghc_4101_201902141630
6,25,True,classinsight-cmu_05748A_ghc_4101_201902141630
6,29,True,classinsight-cmu_05748A_ghc_4101_201902141630
6,40,True,classinsight-cmu_05748A_ghc_4101_201902141630
6,42,True,classinsight-cmu_05748A_ghc_4101_201902141630
6,43,True,classinsight-cmu_05748A_ghc_4101_201902141630
6,44,True,classinsight-cmu_05748A_ghc_4101_201902141630
6,46,True,classinsight-cmu_05748A_ghc_4101_201902141630
6,47,True,classinsight-cmu_05748A_ghc_4101_201902141630
6,50,True,classinsight-cmu_05748A_ghc_4101_201902141630
6,52,True,classinsight-cmu_05748A_ghc_4101_201902141630
6,54,True,classinsight-cmu_05748A_ghc_4101_201902141630
6,57,True,classinsight-cmu_05748A_ghc_4101_201902141630
6,58,True,classinsight-cmu_05748A_ghc_4101_201902141630
6,60,True,classinsight-cmu_05748A_ghc_4101_201902141630
6,64,True,classinsight-cmu_05748A_ghc_4101_201902141630
6,65,True,classinsight-cmu_05748A_ghc_4101_201902141630
6,66,True,classinsight-cmu_05748A_ghc_4101_201902141630
6,74,True,classinsight-cmu_05748A_ghc_4101_201902141630
7,1,True,classinsight-cmu_05748A_ghc_4101_201902141630
7,2,True,classinsight-cmu_05748A_ghc_4101_201902141630
8,1,True,classinsight-cmu_05748A_ghc_4101_201902141630
8,2,True,classinsight-cmu_05748A_ghc_4101_201902141630
8,25,True,classinsight-cmu_05748A_ghc_4101_201902141630
8,49,True,classinsight-cmu_05748A_ghc_4101_201902141630
8,63,True,classinsight-cmu_05748A_ghc_4101_201902141630
9,1,True,classinsight-cmu_05748A_ghc_4101_201902141630
9,2,True,classinsight-cmu_05748A_ghc_4101_201902141630
9,3,True,classinsight-cmu_05748A_ghc_4101_201902141630
9,4,True,classinsight-cmu_05748A_ghc_4101_201902141630
9,5,True,classinsight-cmu_05748A_ghc_4101_201902141630
9,6,True,classinsight-cmu_05748A_ghc_4101_201902141630
9,7,True,classinsight-cmu_05748A_ghc_4101_201902141630
9,8,True,classinsight-cmu_05748A_ghc_4101_201902141630
9,9,True,classinsight-cmu_05748A_ghc_4101_201902141630
